	Cluster	Epi	IntEpi	outlier	week
SRR11397714	C19	NA	0	0	11
SRR11397715	C10	NA	0	0	NA
SRR11397716	C10	NA	0	0	NA
SRR11397717	C03	NA	0	0	10
SRR11397718	C01	NA	0	0	NA
SRR11397719	C12	NA	0	0	NA
SRR11397720	C03	NA	0	0	9
SRR11397721	C12	NA	0	0	NA
SRR11397728	C10	NA	0	0	NA
SRR11397729	C06	NA	0	0	3
SRR11397730	C06	NA	0	0	NA
SRR11476447	C02	NA	0	0	NA
SRR11494452	C21	NA	0	0	11
SRR11494453	C15	NA	0	0	NA
SRR11494454	C21	NA	0	0	NA
SRR11494455	C10	NA	0	0	10
SRR11494456	C01	NA	0	0	NA
SRR11494457	C10	NA	0	0	NA
SRR11494458	C21	NA	0	0	11
SRR11494459	C15	NA	0	0	NA
SRR11494460	C03	NA	0	0	NA
SRR11494461	C03	NA	0	0	11
SRR11494462	C10	NA	0	0	NA
SRR11494463	C19	NA	0	0	NA
SRR11494464	C21	NA	0	0	11
SRR11494465	C15	NA	0	0	NA
SRR11494467	C03	NA	0	0	NA
SRR11494468	C17	NA	0	0	11
SRR11494469	C15	NA	0	0	NA
SRR11494470	C17	NA	0	0	NA
SRR11494471	C19	NA	0	0	11
SRR11494472	C15	NA	0	0	NA
SRR11494473	C10	NA	0	0	NA
SRR11494474	C06	NA	0	0	11
SRR11494475	C15	NA	0	0	NA
SRR11494476	C17	NA	0	0	NA
SRR11494477	C17	NA	0	0	11
SRR11494478	C10	NA	0	0	NA
SRR11494479	C03	NA	0	0	NA
SRR11494480	C08	NA	0	0	11
SRR11494481	C10	NA	0	0	NA
SRR11494482	C10	NA	0	0	NA
SRR11494483	C21	NA	0	0	11
SRR11494484	C21	NA	0	0	NA
SRR11494485	C17	NA	0	0	NA
SRR11494486	C21	NA	0	0	11
SRR11494487	C01	NA	0	0	NA
SRR11494488	C08	NA	0	0	NA
SRR11494489	C06	NA	0	0	11
SRR11494490	C10	NA	0	0	NA
SRR11494491	C10	NA	0	0	NA
SRR11494492	C17	NA	0	0	11
SRR11494493	C03	NA	0	0	NA
SRR11494494	C10	NA	0	0	NA
SRR11494495	C21	NA	0	0	11
SRR11494496	C15	NA	0	0	NA
SRR11494497	C01	NA	0	0	NA
SRR11494498	C03	NA	0	0	11
SRR11494499	C10	NA	0	0	NA
SRR11494500	C10	NA	0	0	NA
SRR11494501	C15	NA	0	0	11
SRR11494502	C01	NA	0	0	NA
SRR11494503	C10	NA	0	0	NA
SRR11494504	C21	NA	0	0	11
SRR11494505	C21	NA	0	0	NA
SRR11494506	C19	NA	0	0	NA
SRR11494507	C03	NA	0	0	11
SRR11494508	C06	NA	0	0	NA
SRR11494510	C17	NA	0	0	NA
SRR11494511	C03	NA	0	0	11
SRR11494513	C03	NA	0	0	NA
SRR11494514	C03	NA	0	0	NA
SRR11494515	C21	NA	0	0	11
SRR11494516	C15	NA	0	0	NA
SRR11494517	C17	NA	0	0	NA
SRR11494518	C21	NA	0	0	11
SRR11494519	C06	NA	0	0	NA
SRR11494520	C15	NA	0	0	NA
SRR11494521	C17	NA	0	0	11
SRR11494522	C10	NA	0	0	NA
SRR11494523	C05	NA	0	0	NA
SRR11494524	C01	NA	0	0	11
SRR11494526	C15	NA	0	0	NA
SRR11494527	C21	NA	0	0	NA
SRR11494528	C21	NA	0	0	11
SRR11494529	C10	NA	0	0	NA
SRR11494530	C01	NA	0	0	NA
SRR11494531	C10	NA	0	0	11
SRR11494532	C17	NA	0	0	NA
SRR11494533	C17	NA	0	0	NA
SRR11494534	C21	NA	0	0	11
SRR11494535	C15	NA	0	0	NA
SRR11494536	C03	NA	0	0	NA
SRR11494537	C06	NA	0	0	4
SRR11494538	C03	NA	0	0	NA
SRR11494539	C01	NA	0	0	NA
SRR11494540	C15	NA	0	0	11
SRR11494541	C07	NA	0	0	NA
SRR11494542	C15	NA	0	0	NA
SRR11494543	C17	NA	0	0	11
SRR11494544	C17	NA	0	0	NA
SRR11494545	C06	NA	0	0	NA
SRR11494546	C21	NA	0	0	11
SRR11494547	C03	NA	0	0	NA
SRR11494548	C01	NA	0	0	NA
SRR11494549	C06	NA	0	0	11
SRR11494550	C19	NA	0	0	NA
SRR11494551	C15	NA	0	0	NA
SRR11494552	C17	NA	0	0	11
SRR11494553	C12	NA	0	0	NA
SRR11494554	C06	NA	0	0	NA
SRR11494555	C21	NA	0	0	11
SRR11494556	C03	NA	0	0	NA
