	Genotype	Selected	Attribute_1	Attribute_2
SRR11397714	19	1	A	11
SRR11397715	1	1	B	NA
SRR11397716	1	1	C	NA
SRR11397717	3	1	D	10
SRR11397718	1	1	E	NA
SRR11397719	12	1	A	NA
SRR11397720	3	1	B	9
SRR11397721	12	1	C	NA
SRR11397728	1	1	D	NA
SRR11397729	6	1	E	3
SRR11397730	6	1	A	NA
SRR11476447	2	1	B	NA
SRR11494452	21	1	C	11
SRR11494453	15	1	D	NA
SRR11494454	21	1	E	NA
SRR11494455	1	1	A	10
SRR11494456	1	1	B	NA
SRR11494457	1	1	C	NA
SRR11494458	21	1	D	11
SRR11494459	15	1	E	NA
SRR11494460	3	1	A	NA
SRR11494461	3	1	B	11
SRR11494462	1	1	C	NA
SRR11494463	19	1	D	NA
SRR11494464	21	1	E	11
SRR11494465	15	1	A	NA
SRR11494467	3	1	B	NA
SRR11494468	17	1	C	11
SRR11494469	15	1	D	NA
SRR11494470	17	1	E	NA
SRR11494471	19	1	A	11
SRR11494472	15	1	B	NA
SRR11494473	1	1	C	NA
SRR11494474	6	1	D	11
SRR11494475	15	1	E	NA
SRR11494476	17	1	A	NA
SRR11494477	17	1	B	11
SRR11494478	1	1	C	NA
SRR11494479	3	1	D	NA
SRR11494480	8	1	E	11
SRR11494481	1	1	A	NA
SRR11494482	1	1	B	NA
SRR11494483	21	1	C	11
SRR11494484	21	1	D	NA
SRR11494485	17	1	E	NA
SRR11494486	21	1	A	11
SRR11494487	1	1	B	NA
SRR11494488	8	1	C	NA
SRR11494489	6	1	D	11
SRR11494490	1	1	E	NA
SRR11494491	1	1	A	NA
SRR11494492	17	1	B	11
SRR11494493	3	1	C	NA
SRR11494494	1	1	D	NA
SRR11494495	21	1	E	11
SRR11494496	15	1	A	NA
SRR11494497	1	1	B	NA
SRR11494498	3	1	C	11
SRR11494499	1	1	D	NA
SRR11494500	1	1	E	NA
SRR11494501	15	1	A	11
SRR11494502	1	1	B	NA
SRR11494503	1	1	C	NA
SRR11494504	21	1	D	11
SRR11494505	21	1	E	NA
SRR11494506	19	1	A	NA
SRR11494507	3	1	B	11
SRR11494508	6	1	C	NA
SRR11494510	17	1	D	NA
SRR11494511	3	1	E	11
SRR11494513	3	1	A	NA
SRR11494514	3	1	B	NA
SRR11494515	21	1	C	11
SRR11494516	15	1	D	NA
SRR11494517	17	1	E	NA
SRR11494518	21	1	A	11
SRR11494519	6	1	B	NA
SRR11494520	15	1	C	NA
SRR11494521	17	1	D	11
SRR11494522	1	1	E	NA
SRR11494523	5	1	A	NA
SRR11494524	1	1	B	11
SRR11494526	15	1	C	NA
SRR11494527	21	1	D	NA
SRR11494528	21	1	E	11
SRR11494529	1	1	A	NA
SRR11494530	1	1	B	NA
SRR11494531	1	1	C	11
SRR11494532	17	1	D	NA
SRR11494533	17	1	E	NA
SRR11494534	21	1	A	11
SRR11494535	15	1	B	NA
SRR11494536	3	1	C	NA
SRR11494537	6	1	D	4
SRR11494538	3	1	E	NA
SRR11494539	1	1	A	NA
SRR11494540	15	1	B	11
SRR11494541	7	1	C	NA
SRR11494542	15	1	D	NA
SRR11494543	17	1	E	11
SRR11494544	17	1	A	NA
SRR11494545	6	1	B	NA
SRR11494546	21	1	C	11
SRR11494547	3	1	D	NA
SRR11494548	1	1	E	NA
SRR11494549	6	1	A	11
SRR11494550	19	1	B	NA
SRR11494551	15	1	C	NA
SRR11494552	17	1	D	11
SRR11494553	12	1	E	NA
SRR11494554	6	1	A	NA
SRR11494555	21	1	B	11
SRR11494556	3	1	C	NA
SRR11494557	6	1	D	NA
SRR11494558	15	1	E	10
